candidate_id,hard_seismic_rmse,rank,observation,observation_sha256,predicted_observation_sha256,hard_model_sha256,condition_violations
candidate_000862,0.027200166136026382,1,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,37b951928bcd38792f14a2fdc9a3e61ffbb67f697c0c32f92559a5c61f50e2ec,2e1671e867d43e928db2abe4ee5b6f7eef25380326fa6342169c9c38fca422d5,0
candidate_000825,0.02976769395172596,2,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,cf7d0c54e76d5882966e1516f054dc67963510f7f685efa23476d65916fc9933,8f4047a1b3563b10b7663286b2a89f6666858162494dd2131b2adf03b2cff8a0,0
candidate_000255,0.030961768701672554,3,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,e29f9036c3e1e8fbbb3d0044c6367b3a858b5135c8e3e657b3da4a274868d112,2306d1226b2bbffcfc23859f85d9ddd083df63bb9245ef1f1b023e035b9beb1b,0
candidate_000282,0.03121531382203102,4,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,4d41da29e205b7f79c546943b95261c163bc23113dfb9ba95e7189b64d4ebe8f,ef21a53e31c0eea6f1059d3fa513e4627a0520e9d4456cd582132a08af856bd5,0
candidate_000361,0.031864751130342484,5,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,2f423a86c20801fe5ed471d2c93c203364894956813b7aef2ac520a640171662,960b140c5cafffb43dd9420b3721adaae3c4ce2095029e16ea711933f63b60fc,0
candidate_000286,0.03211688622832298,6,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,838ea282c5f43af996b327d633f39e32e4475ec5140e3b5989c359245b52ef16,698cf7ab7d8f6ab4622026a6384c9d01296623d170516713036e5bbe044aad42,0
candidate_000254,0.03216727077960968,7,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,14cdc2a42e9c058131f2d0510cc0f6a0df9832bd97e98bb136db5bd6d61412f1,a613e8ac3faea90b3d75fd2aab3da87d6fc123e5a984a441572420dfdf680026,0
candidate_000118,0.032775480300188065,8,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,94e620342ce96b0e937283106b85707103e5f2d00e2c441503fa812ee627a407,9edee0bd5a932a1a9c31e7b403438506e193686d9b9ac05537ef5beabf58993f,0
candidate_000352,0.03284945711493492,9,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,b2a3f01c40cb3b4a8f4406453124767d5179ae2e80d41cb50a1b16bdcf451c20,4c9878342d26ebec18f4fff6f4d7c52611cdac57995fc92b04f96dbf3e3e8927,0
candidate_000946,0.03303730487823486,10,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,05a0a72453fd4c17afbd5231af4d7b309d15ea09818cef4f7b1646c5de4138db,301e342360c1fe01bb8cbc30de73aae6addd9605ec977410b3ba5d0f6cd9bbc2,0
