member_id,candidate_id,seed,local_sample_id,sample_sha256,underground_air_voxels_replaced,neutral_category,neutral_raw_label,prior_condition_violation_count,inverted_condition_violation_count,prior_seismic_loss,prior_seismic_rmse,prior_seismic_mae,inverted_seismic_loss,inverted_seismic_rmse,inverted_seismic_mae,delta_seismic_rmse,normal_diagonal_mean,prior_lambda,smoothness_lambda,correction_abs_max_time,correction_rms_time,correction_abs_max_depth,correction_rms_depth_subsurface
0,seed42_sample0,42,0,8666eeaa5426a70b6a4bfb1f06a1f6ca4a3b68713dcfb2c8602917bcfd9aa80a,0,4,3,0,0,17.86063130000384,0.04226184011611874,0.013078358996659952,8.379855194152222,0.028947979539429382,0.009255448487477886,-0.01331386057668936,0.586642248996906,0.000586642248996906,0.00586642248996906,1.1367077020923575,0.07355410610647951,0.9242458148809025,0.10869130880243645
1,seed42_sample1,42,1,3f5d945948ead807962a4e9ee4ea656ae75eb0aafe9d7dda312d3e884a5d008e,1,4,3,0,0,16.855712753849133,0.041055709412759066,0.01281332194218121,8.689934800281858,0.029478695358312344,0.009441078366826592,-0.011577014054446721,0.586642248996906,0.000586642248996906,0.00586642248996906,1.2389959521637952,0.07129648395822404,0.9543935121946445,0.1041174060784086
2,seed42_sample2,42,2,40bfda4e025586955faa3b34866daa6bcc4a853c25e1bcf1be49ae0635caec61,2,4,3,0,0,18.802829933252145,0.04336223003173632,0.013766723818141636,8.81374966607108,0.02968795996034601,0.009682837103841628,-0.013674270071390306,0.586642248996906,0.000586642248996906,0.00586642248996906,1.077725178764799,0.07543159931156415,1.0022614764749596,0.11157167184081436
3,seed42_sample3,42,3,09d11bb1eada39d714dc9b3263df344a79f245f91b080feab01ecfda7c7c94a9,2,4,3,0,0,19.58574893994276,0.04425578938392441,0.014200751518202572,8.612236581893615,0.02934661238012595,0.009572810265932843,-0.01490917700379846,0.586642248996906,0.000586642248996906,0.00586642248996906,1.1439075938313583,0.07674316256043576,1.0789911573577409,0.11378755313962771
4,seed142_sample0,142,0,5658b54e7b95d896ebcd272ca9521f50b73985483dbd49daf748aab932c0f8e2,2,4,3,0,0,17.36130081720459,0.04166689431335697,0.01321399549651912,8.7786879882138,0.029628850784689235,0.009594556907338129,-0.012038043528667733,0.586642248996906,0.000586642248996906,0.00586642248996906,0.9945518601080009,0.07339779834485803,0.8272727370782648,0.10787628950175641
5,seed142_sample1,142,1,cf0561bffa12c7b2654b387b23c980c0e5b65ad2a36642a2491fbdb62b42997e,4,4,3,0,0,20.71069280482726,0.0455090021916843,0.014101748639215672,9.046011032147195,0.030076587293353607,0.009681377311090745,-0.015432414898330693,0.586642248996906,0.000586642248996906,0.00586642248996906,1.1056700506551476,0.0786784627692777,1.0117633695018842,0.11735576942006136
6,seed142_sample2,142,2,6ab3f17d62ce090402f3ff1ad6fd97f6ab7f5ee5bcffb9f9fdd2b525b3db02e5,3,4,3,0,0,18.642215674990368,0.04317663219264602,0.01356443080798538,8.677237171813491,0.02945715052718693,0.009503510674395926,-0.013719481665459086,0.586642248996906,0.000586642248996906,0.00586642248996906,1.109860102380892,0.0756611042316216,0.9693019404122154,0.11159460044856906
7,seed142_sample3,142,3,ed03a016c63d9cce2dacdb9f7e93c500315172868bfd1c08449d05f4b0035a1a,2,4,3,0,0,17.681601314879668,0.04204949620968088,0.01319543255505877,8.4866686543569,0.029131887433458376,0.009397455882034727,-0.012917608776222507,0.586642248996906,0.000586642248996906,0.00586642248996906,0.9748595098193724,0.07382539029105421,0.9166876705336623,0.1093422568115008
8,seed242_sample0,242,0,eb9cd794b4b2e61062920f83f0c5af35c1cd94c5a7035b1d346091ede48a788f,2,4,3,0,0,18.33916736298674,0.04282425406587573,0.013575424035787598,8.58278810814799,0.029296395867321277,0.009495983869217902,-0.013527858198554451,0.586642248996906,0.000586642248996906,0.00586642248996906,1.0574234056438199,0.0749305291719531,1.0086991869939212,0.1113137021045293
9,seed242_sample1,242,1,f0089a90f0cf30d887a98f4044b6d2f2494fa909960b5df74b6f6ff29fcd0c57,1,4,3,0,0,16.873483538134003,0.04107734599281458,0.01281357167907266,8.322078605029727,0.028848013111876056,0.009189772490355543,-0.012229332880938526,0.586642248996906,0.000586642248996906,0.00586642248996906,1.0536136506502218,0.07189877839881938,0.9348314073483597,0.10505818693965666
10,seed242_sample2,242,2,d9f2271c1ba3961fe6a268b5689da49b917812d4322160306262f79696185bd9,1,4,3,0,0,17.281335877414893,0.041570826161401814,0.013078048961056266,8.560717169283214,0.029258703268058916,0.009424053917020305,-0.012312122893342898,0.586642248996906,0.000586642248996906,0.00586642248996906,1.0464892736261984,0.07304621791633858,0.9123036964948354,0.10760996281557451
11,seed242_sample3,242,3,485ebba950fc9863395d8ec9efc94057a6c9a8ff049cfcefbdf8f419bb737138,0,4,3,0,0,18.4434378498093,0.04294582383632814,0.013246994562704052,8.223392659910195,0.02867645839344565,0.009175225592690458,-0.01426936544288249,0.586642248996906,0.000586642248996906,0.00586642248996906,0.9651865162315787,0.07444631856586872,0.8859718317695892,0.11053815539836555
