oracle_label,parent_model_id,model_id,proposal_move,object_count,modified_voxels,hard_rmse,delta_rmse_vs_exact_solution,delta_rmse_vs_empty,better_than_empty,objects_json
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0000,remove_object,1,640,0.006283232476562262,0.006283232476562262,-0.002602591644972563,True,"[{""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0001,translate_center_x_-1,2,1280,0.003141616005450487,0.003141616005450487,-0.005744208116084337,True,"[{""center_x"": 40.5, ""center_y"": 41.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0002,translate_center_x_-0.25,2,1280,0.0,0.0,-0.008885824121534824,True,"[{""center_x"": 41.25, ""center_y"": 41.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0003,translate_center_x_+0.25,2,1280,0.0,0.0,-0.008885824121534824,True,"[{""center_x"": 41.75, ""center_y"": 41.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0004,translate_center_x_+1,2,1280,0.003141616005450487,0.003141616005450487,-0.005744208116084337,True,"[{""center_x"": 42.5, ""center_y"": 41.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0005,translate_center_y_-1,2,1280,0.003141616238281131,0.003141616238281131,-0.005744207883253694,True,"[{""center_x"": 41.5, ""center_y"": 40.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0006,translate_center_y_-0.25,2,1280,0.0,0.0,-0.008885824121534824,True,"[{""center_x"": 41.5, ""center_y"": 41.25, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0007,translate_center_y_+0.25,2,1280,0.0,0.0,-0.008885824121534824,True,"[{""center_x"": 41.5, ""center_y"": 41.75, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0008,translate_center_y_+1,2,1280,0.003141616238281131,0.003141616238281131,-0.005744207883253694,True,"[{""center_x"": 41.5, ""center_y"": 42.5, ""center_z"": 38.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
ORACLE_POSTMORTEM_ONLY,g02_g01_empty_baseline_add_candidate_06_add_candidate_04,g03_g02_g01_empty_baseline_add_candidate_06_add_candidate_04_0009,translate_center_z_-1,2,1280,0.008406799286603928,0.008406799286603928,-0.00047902483493089676,True,"[{""center_x"": 41.5, ""center_y"": 41.5, ""center_z"": 37.5, ""material_label"": 9, ""object_id"": ""candidate_06"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}, {""center_x"": 9.5, ""center_y"": 41.5, ""center_z"": 20.5, ""material_label"": 9, ""object_id"": ""candidate_04"", ""orientation_deg"": 0.0, ""presence"": true, ""shape"": ""cuboid"", ""size_x"": 8.0, ""size_y"": 8.0, ""size_z"": 10.0, ""source_family"": ""benchmark_domain_cuboid; truth indices unavailable to search""}]"
